review;stars
El producto ha llegado con una capa de polvo en el exterior. Es un producto alimentario y no me crea confianza su consumo, ya que no se cual ha sido su manipulación. Según política de Amazon no puedo devolverlo. Amazon (o proveedor) me darán una solución o es dinero perdido?;1
No he notado ningún cambio despues de 1 mes tomando dos pastillas. Buscaba sobretodo para mejorar el descanso pero no. No lo vuelvo a comprar porque me da dolores muy fuertes de estómago.;1
"Llevo años tomando Magnesio de varios tipos y siempre funciona.  Se han hecho algunas pruebas:-Solubilidad:  Ha de quedar el agua trasparente :  No es así-Sabor: Al llevar Vitamina C como afirma Deberia ser un poco Acido. No es Así.-Las Vitaminas B  donde estan??? En el producto no.-Los % de la Etiqueta No coinciden en Absolupto.-El sabor; Si es Magnesio  será cualquiera menos lo que pone.-Cuando un producto de Nutrición le pegan encima una etiqueta: Nuevo. No lo compreis....";1
Esto en lugar de magnesio se debería llamar LAXANTE. Horrible! 2 cápsulas he tomado en un día y estoy con diarrea, hinchazón, retortijones y dolor abdominal horrible. Esto por qué no lo indican?? Me he guiado por las buenas opiniones ( imagino que serán estreñidos ) dinero tirado.;1
La verdad es que lo he tomado durante dos meses, y no he notado ningún beneficio, o sea que no volveré a comprarlo;1
Con tantas clases de Magnesio no son para lo que crees...pero como la he abierto...no se pueden devolver, pero no las tomare ya que no tengo claro para que son...muy pocas instrucciones...Nada recomendable...he tirado el dinero...😩;1
Después de llevar unos 20 días tomándolo puedo decir que no he notado ningún tipo de cambio, ni mi pareja tampoco.20€ tirados a la basura.;1
"No se ha podido cargar el contenido multimedia.
                



En las imágenes se puede apreciar como el frasco tiene doble etiqueta, la original en francés y encima otra en castellano que hace que la original en francés, quede oculta.Ojo con ello";1
El citrato de magnesio no se absorbe, principalmente lo deshechas por el WC.Puede ser de utilidad si eres estreñido únicamente.Antes no sabía, pero ahora sé que el mejor es el bisglicinato, malato...;1
El producto a llegado con el protector abierto, no da confianza.;1
Necesitas 3 pastillas para conseguir lo que dicen y entonces solo dura poco mas de un mes.;1
Por el precio que tiene y viene abierto el bote el precinto estaba quitado;1
Empezamos a tomarla toda la familia, y todos empezamos a los días a sufrir migraña. Dejamos de tomarlas y se nos pasó.;1
He tomado un bote y no he notado nada;1
para mi totalmente inocuo, pero no sé si a otros les vendrá bien.;1
Me parece impresentable.;1
Después de llevar días tomandolas no he notado efecto alguno;1
No informa de la dosis ni cuando tomarlo;1
Hay otros que solo son magnesio y te relajas...en esta formulacion yo no se porque pero no pude relajarme para dormir o me despertaba aceleradodurante el dia no me molesta pero lo queria para dormir mejor....;1
Tiene un fuerte efecto laxante cuidado;1
Me he tomado dos( pone tomar tres) y estado con mareos y malestar estomacal , otros productos me da el efecto contrario. No lo recomiendo;1
Cuento chino....a mi la verdad que el cansancio no me lo quita ...;1
Muy mala me tomé el 1 día 3 cápsula y nada de efecto trabajo de limpieza en el metro y 0%0 de energía te entra más sueño jaja mala no lo recomiendo;1
Ahora lo estoy usando parece bien ! Es lo que puedo decir x los momentos! Gracias !!!;1
hinchazón tremenda que no desaparece ni tras un mes de uso.No repetiré;1
Me tomé la primera dosis y estuve todo el día con mal cuerpo, no las tomé más, quizás fue por otra cosa no se.;1
Esto es un engaño. Si mirais el porcentaje de magnesio que aporta, es nulo. Te estas tomando vitaminas, pero el porcentaje de magnesio es insignificante;1
A punto de terminar un frasco y ningún pero ningún efecto, no hace absolutamente nada, un fiasco, una estafa,  ni que hablar a la hora de consultar composición el texto es ilegible y se nota que es a propósito no se puede saber que tiene ni que tipo de cepas trae malísimo desde todo punto de vista.;1
No he notado mucho en 10 días, igual tengo que seguir y ya a final de mes notaré eso que dicen que sube la energía y ayuda a dormir bien;1
Llevo algún tiempo tomando el mismo componete químico pero de Mercadona, me funcionada perfecto, con este enhe sentido pero, con dolor en articulaciones y columna baja. Tanto yo como mi esposa. No recomiendo.;1
Tomando la dosis recomendada es un auténtico fraude mejor no tirar el dinero;1
Imposible abrir el tapón. Tuve q hacerle un corte a cuchillo por la parte baja;1
no recomendable, no notaba nada de los efectos que dice que tiene, solo notaba uno que no dice: LAXANTE;1
No lo compréis da mucho dolor de estómago y vómitos pero dolores muy muy fuertes, no lo recomiendo;1
Dolor de estomago, barriga suelta y tomando solo 1 pastilla al dia por la tarde como pone;1
Tiene muy mal olor y sabor solo tomé una pastilla y no llegué a usarlos más porque sabía raro;1
No me ha gustado, produce nauseas y dolores de estomago. Es una disis muy alta. Tener cuidado de tomar este magnesio, puede ser peligroso para la salud;1
Tengo síndrome de colon irritable y no me han funcionado. Pensé que al haber más cantidad y variedad de cepas en relación a otros probióticos que tomaba, serían mejores. Pero no fue así, no funcionaron y he vuelto a los de antes, que sí me funcionan.;1
Por más que tomo no e notado el cambio en mis articulaciones a lo mejor no le funciona a todo el mundo;1
Me ha hecho muy mal en el cuerpo;1
Si sufren de Gastritis o Ulceras no es el producto más idóneo, al tercer día tiende a darte dolores fuertes de estómago (al menos en mi caso), es mejor probar un magnesio que sea de tipo Gastro-resistente o similar.;1
Que el precio es muy caro no se absorbe bien y de magnesio natural 100% no tiene nada y poco efectivo y duele mucho el estómago al tomarlo;1
Muy mal producto tiene esterato de magnesio y dióxido de silicio , nocivos para la salud, no entiendo cual es el proposito de meterles estos rellenos a los suplementos, pero desde luego que ya lo devolví.;1
Me an robado 5 euros diciendo que me havia subscrito asu producto o no se que historia todo una estafa;1
Muchos dolores de estómago y diarreas, a mi no me sienta nada bien;1
El producto me producía dolor de estomago durante varias horas después de tomarlo. He vuelto a tomar mi anterior marca;1
El producto venía con la tapa metálica mal cerrada y con el precinto de seguridad del frasco levantado.Así no es seguro su consumo. No puedo opinar sobre sus características.;1
