review;stars
Empezaré mi reseña explicando no soy alguien que busque grab calidad en unos cascos gaming, pero que los cascos tengan un balance entre los bajos y los agudos, de hecho decidí probar estos cascos ya que mis viejos compañeros unos cascos genéricos de 14€ que me duraron 2 años se arruinaron, así que compre estos pensando que tendría una calidad no excelente pero por lo menos decente en sonido.Llegaron el mismo día que los pedí (bien por Amazon) emocionado los saque de su caja, los conecte a mi mando de Xbox series S y  a jugar COD BO6, mi sorpresa fue que el sonido era malísimo sonaba como que estaba en una lata de sardina y solo se escuchan los bajos pero poco o nada los agudos, decidí probarlos en la Nintendo Switch y fue exactamente lo mismo y por último en la PS5 obteniendo el mismo resultado, sonido mediocre... 10 minutos después estaba iniciando el proceso de devolución y me fui a lo seguro, unos Logitech que aunque el doble de caro de estos con ellos si pude ver reseñas en Youtube y puedo estar seguro que el sonido será decente.Te llega lo que pagas, no esperes gran calidad;1
Increíble como ha llegado la caja. Me parece decepcionante la presentación para el regalo de un niño. El envío muy rápido, pero la calidad nefasta. A veces es mejor tardar un poco más pero que el paquete llegue en óptimas condiciones.;1
Recién compradosLos enchufas a la switch con el Jack y no funciona el micrófono conectados a la consola directamente. Estoy haciendo yo algo mal? Está configurado el chat de voz en fornite y no se oye bien se encienden las luces;1
Hola, no se encienden las luces hay que hacer algo para que se enciendan ? GraciasNo funcionan entonces, están rotos!?;1
Hace 2 años que se los compré a mi hijo y las almohadillas están completamente peladas;1
Las orejeras son pequeñas y molesta al tenerlo puesto aunque sea poco tiempo;1
Cuando los tienes puestos más de 15 minutos te duelen las orejas. Otros amigos que también los compraron les pasa exactamente igual;1
Lo compré pensando que al ser over ear me entrarían las orejas y no ha sido así, si tienes orejas grandes ojo que no te entrarán y al final después de horas de uso pues acaban doliendo.;1
No funcionaba el micro, después si....y decidimos no devolverlos....y ayer dejo defuncionar parece ser q definitivamente....No duraron nada....;1
En 20 días a dejado de funcionar el micro, no recomiendo!!!;1
Han dejado de funcionar y no te dan garantías;1
Dicen que está compatible con todas las consolas y PC pero una vez abierto la caja te encontras un papelito que ondica que el micrófono NO ESTÁ compatible con el Switch así que al final mi hijo está muy despacionado por el regalo que le esperaba tanto.;1
A pesar de indicar en la descripción del artículo que SÍ es compatible con la consola Nintendo Switch, en realidad no lo es del todo. Los auriculares sí lo son, pero el micrófono NO!. Menuda decepción se ha llevado mi hijo. Devuelto de primeras.;1
Las luces nunca se han encendido y el micro ha dejado de funcionar en menos de un mes.Desastroso. No comprar.;1
Animado por las reseñas positivas me animé a pedirlo, para jugar en mi Xbox Series, y me parece increíble que nadie haya comentado que NO es compatible. Algo increíble teniendo en cuenta que son por cable. Pues nada, no detecta el MICRÓFONO. A su vez, comentar que el alambre que sujeta el micrófono es malo no, lo siguiente, se cae por su propio peso, es malísimo. Calidad chinorris de la mala. Devolución.;1
Los auriculares se encienden, pero no funcionan ni en la PS4, ni en la nintendo Swicht , ni en dos ordenadores. Resultado, decepción de mi hijo al ver que los reyes magos le han dejado el regalo deseado sin funcionar.;1
No me gusta que son muy débiles, el sonido es demasiado saturado y tiene 0 bajo.En cuanto a comodidad son un poco flojos y no se adaptan bien a tu oreja.El color y lo de las luces va muy bien.La forma también es bonita.Pero 100% estética 0% audio profesional.;1
Quería estos cascos para las típicas llamadas por aplicaciones de trabajo. La primera sorpresa desagradable fue la almohadilla de la diadema, dura e incómoda. Es posible que me hubiera hecho a ella, pero no siquiera llegué a ello, por el segundo problema: el micrófono.El casco vienen con el típico enganche que de una toma saca la del micro y el audio. Has ahí bien, si no fuera porque se cuela muchísimo ruido en el micro y su volumen cambia de manera descontrolada. Inaceptable para el uso que quería darle, así que los he devuelto.Ya puestos, el sonido no estaba mal, pero tampoco nada del otro mundo. Yo buscaría otra alternativa, seguro que encuentras algo mejor a un precio parecido;1
No se escucha bien y difícil de conectar con PlayStation.;1
Lo devolví porque no funcionaba el micrófono ni las luces;1
Producto poca calidad en relación a su precio. Lo compre porque había comentarios positivos pero en mi caso la experiencia es mala.Para q funciones las luces en la PS4 hay q conectarlo vía USB, pero entonces el micro no se escucha porque va vía JackNo lo recomiendo;1
El micro me ha durado 32 días y ha dejado de funcionar;1
Los cascos muy bien pero la entrega muy mal porque los dejo en otra casa y me lo dieron habierto;1
Los acabo de recibir y parece que funcionan, pero la caja (ni siquiera venía en uno de los sobres de Amazon, sólo la caja de los cascos) estaba abierta. Al menos póngale un celo para cerrarla a la próxima persona que lo compre.;1
Se estropea muy rápido  me ha durado solo 6 meses;1
Caja vino abierta y dañada. Los compré para un regalo y me da una vergüenza enorme regalar una cosa así.;1
Buen artículo;1
Mis amigos escuchan hasta cuando pasa una mosca cerca. Da igual cuando baje el volumen de entrada del micrófono o de la aplicación en cuestión.Dinero tirado a la basura.;1
Me han durado 22 meses, cuando deberían funcionar... Poco uso además.;1
Simplemente ni fu ni fa y no duraron nada al final;1
Lo compre para el cumpleaños de mi hijo a principios de diciembre y ahora el 15 de enero ( 1 mes utilizandolo ) a dejado de funcionar el micrófono, el si escuchan pero a él no le escuchan. Asiq mala experiencia ya q en 1 mes dejo de funcionar. Y eso que solo juega los findes de semana.;1
No funcionan bien;1
Mala calidad, micrófono malísimo y audio de baja calidad.Por este precio son malos;1
Ni un mes me han durado menuda basura el cable deja de funcionar sin golpes ni estirones;1
ha dejado de sonar un lado delAuricular de un día para otro. Me considero una persona cuida las cosas y no es normal que ocurra esto tan rápido. Solo día meses me han durado y no hay manera de proceder devolución o escribir mensaje a comprador para indicarle lo ocurrido.;1
No conseguí que se escuchará y después del mil peripecias conseguí que grabase audio que sonaba imperceptible. Devuelto a la hora.;1
Han durado solo dos meses, los auriculares aun funcionan pero el micrófono ya no;1
Se notan de muy baja calidad el sonido es malisimo, estaba acostumbrado a los de sony los compre para tener otros por si fallaban y decepcion maxima sonido lata incomodos son de plastico malo.... A ver por el precio es de imaginar pero al leer los comentarios de la gente quise probarlos!! Decepcionantes, toca devolverlos!!;1
No mucho. El micrófono funciona cuando quiere;1
El micrófono apenas se oye  el sonido es muy bajo y los cascos apretan mucho aún abriéndoles solicito devolución inmediata no recomiendo;1
Ha dejado de funcionar un auricular;1
Tiene interferencias continuas no funciona el micrófono, llego mal el producto al minuto uno de usarlo ya estaba fallando;1
De primeras parece que son unos buenos auriculares pero no ha pasado ni un mes y ya han dejado de funcionar y únicamente los he usado en el ordenador, que no los he movido ni nada.;1
Pues nada animado por las buenas opiniones de la gente procedo a comprar estos cascos.No me han gustado nada, el sonido de los juegos se escucha como enlatado. Voy a descambiarlos y comprar unos mejores aunque tenga que pagar un poco más.;1
El cable es demasiado corto;1
Todo perfecto hasta que 6 meses después.... Empieza a dar fallos. No merece la pena la compra;1
Se lo regalaron a mi hijo para jugar con la Nintendo Switch y apenas se oye nada, la luz y el micro tampoco funcionan. Una decepción.Hay alguíen que los utilice con la switch?Gracias.;1
No funcionaba en unos dispositivos en otros si;1
No se escucha bien. Lo hemos devuelto;1
Al principio todo iba bien, ni dos días me duraron, dejaron de funcionar de la nada.;1
Son de muy mala calidad, los compre en Diciembre y en Febrero ya no se escucha bien. Son comodos eso si.;1
Han durado 3 meses, calidad precio mucho que desear;1
El producto funciono durante seis meses y ya no puedo reclamar.;1
Pesan mucho es incómodo y no tiene calidad de sonido;1
El micro no funciona;1
Los devolví nada más probarlos;1
En la imagen se ven multicolor y luego resulta que solo tiene color verde y azul;1
