review;stars
"Es un bote para rociar aceite, mi opinión es que no sale bien el chorro de aceite vaporizado, no realiza bien su función. Para una freidora de aire viene bien vaporizar un poco de aceite, en este caso no me sirve para nada.";1
"Lo siento , es fatal, no pulveriza nada bien. No lo recomiendo.";1
No hace su función de spray. No lo aconsejo.;1
Funciona el primer día luego para tirarlo me duro más el que compre en los chinos;1
A los pocos usos se ha atascado el spray;1
En 3 meses ha dejado de funcionar;1
"Buenas,se atasca.";1
"Apuntas a lo que quieres que llegue el aceite e impregna todo lo demás, una broma";1
"Mala calidad, se rompió el spray a los dos meses";1
"Lo devuelvo porque no pulveriza, sale a chorro";1
"Es útil pero caro , lo compré mas barato en tiptopnet un canal de telegram de ofertas.";1
Me iba bien hasta que un día de la noche a la mañana el spray no funciona. Y solo hace mes y medio que lo compré;2
Si esta en posición horizontal no dispensa adecuadamente el aceite.;2
"El deposito bastante pequeño.Difícil de rellenar, lleva un micro embudo.Pulsador poco adherente como te manches un poco de aceite.Difícil limpieza";2
Le falta poder de dispersión del aceite;2
"Lo quería para usarlo con aceite de oliva virgen extra, pero con ese aceite denso el pequeño embudo desborda, a no ser que lo sujetes con una mano y vayas echando con mucha lentitud (y esto con una garrafa de 5l se hace bastante complicado).Si pones el difusor en horizontal, a veces deja de echar aceite y hay que colocarlo en vertical (que alguien me diga cuántos platos se preparan en vertical, porque a mí no se me ocurre ninguno).Además el cono de dispersión del aceite es demasiado extenso, con lo que si lo echas en una freidora de aire la pones toda llena de aceite, y no solo el contenido de la cubeta. Tienes que acercarlo mucho, con lo que se concentra demasiada cantidad.Encima se queda una gota gorda en el agujero del difusor que como no andes con ojo te pringa toda la zona del cabezal del aparato.Tiene toda la pinta de estar pensado para aceites menos densos como el de girasol.";3
"No pulveriza homogéneo, sale a gotas, por su precio la verdad es que si quieres una capa uniforme no lo recomiendo";3
"Es bonito y aunque le cuesta al principio y cuando lo pones un poco horizontal, pulveriza bien.Pero me ha durado un mes o menos porque le di un golpecito y se cayó en la encimera y se partió en dos. Creo que tendría que resistir algo más...";3
Cuando llegó se veía bien y las primeras pulverizaciones funcionaron correctamente. Pero a los dos días de usarlo el pulverizador lanzaba el aceite demasiado fuerte sin pulverizar haciéndolo muy sucio.;3
"Solo reseñar que el vidrio es frágil,he comprado un segundo tarro para comprobar su fragilidad,ya que el 1° se volcó sobre  la encimera y el cristal se rompió .";3
"Cómodo para la freidora de aire pero venía sin el embudo pequeño, tampoco lo he reclamado ya que tenía otra cosa en casa para poder echarlo sin que se caiga, pero es verdad que es necesario el embudo para poder echar el aceite ya que la boca del frasco es pequeña";3
"Nada del otro mundo, veremos cuanto dura sin opstruirse";3
"No pulveriza bien, a veces se atasca.";3
Faltaba el embudo que debería estar;3
La caja en la que venia el vaporizador de aceite no venía cerrada. No puedo decir si funciona bien o mal ya que no me ha dado tiempo a utilizarlo.;4
"Si quieres medir el aceite que echas a la hora de cocinar los alimentos, este spray de aceite es muy útil e imprescindible. Incluye un pequeño embudo para rellenar la aceitera, un limpiador para el frasco y una brocha. Muy recomendable y ahorras sobre los productos del mercado que venden de un solo uso. La única pega es que a veces se atasca y para que salga en spray debes inclinar 45° el frasco.";4
conforme esperado;4
